Rank,Player,Team,Salary,Score,Value
114,Reilly O'Brien,Crows,"$834,000",82,9.8
114,Elijah Hollands,Blues,"$702,000",82,11.7
120,Jordan Clark,Dockers,"$811,000",81,10
120,Jack Billings,Demons,"$551,000",81,14.7
120,Nick Bryan,Bombers,"$555,000",81,14.6
120,Jacob Hopper,Tigers,"$693,000",81,11.7
120,Sam Durham,Bombers,"$751,000",81,10.8
120,Darcy Cameron,Magpies,"$884,000",81,9.2
120,Cody Weightman,Bulldogs,"$502,000",81,16.1
127,Darcy Wilmot,Lions,"$649,000",80,12.3
127,Lloyd Meek,Hawks,"$748,000",80,10.7
127,George Wardlaw,Kangaroos,"$676,000",80,11.8
127,Jake Lloyd,Swans,"$640,000",80,12.5
127,Ryan Burton,Power,"$510,000",80,15.7
132,Colby McKercher,Kangaroos,"$774,000",79,10.2
132,Mark Blicavs,Cats,"$609,000",79,13
132,Tom McDonald,Demons,"$553,000",79,14.3
132,Kade Chandler,Demons,"$499,000",79,15.8
132,John Noble,Magpies,"$582,000",79,13.6
132,Nathan O'Driscoll,Dockers,"$479,000",79,16.5
132,Harvey Gallagher,Bulldogs,"$441,000",79,17.9
139,Jack Graham,Tigers,"$568,000",78,13.7
139,Shannon Neale,Cats,"$473,000",78,16.5
139,Bailey Williams,Eagles,"$633,000",78,12.3
139,Trent Rivers,Demons,"$722,000",78,10.8
143,Alex Neal-Bullen,Demons,"$710,000",77,10.8
143,Jaeger O'Meara,Dockers,"$580,000",77,13.3
143,Bobby Hill,Magpies,"$532,000",77,14.5
146,Chad Warner,Swans,"$724,000",76,10.5
146,Bodhi Uwland,Suns,"$561,000",76,13.5
146,Finn Callaghan,Giants,"$674,000",76,11.3
149,Toby Greene,Giants,"$630,000",75,11.9
149,Sean Lemmens,Suns,"$393,000",75,19.1
149,Corey Wagner,Dockers,"$541,000",75,13.9
149,Harley Reid,Eagles,"$582,000",75,12.9
153,Nick Watson,Hawks,"$501,000",74,14.8
